customer_id,name,email,phone,city,province,registration_date,gender,age_group
CUST0001,Andi Rahmawati,andirahmawati229@yahoo.com,082118196001,Semarang,Jawa Tengah,2022-04-22,Male,25-34
CUST0002,Sari Sembiring,sarisembiring226@gmail.com,085794026542,Semarang,Jawa Tengah,2022-11-21,Female,18-24
CUST0003,Bella Aprilia,bellaaprilia271@gmail.com,081278161849,Tangerang,Banten,2024-03-28,Female,18-24
CUST0004,Shinta Hartono,shintahartono82@outlook.com,082216475255,Semarang,Jawa Tengah,2024-10-04,Female,25-34
CUST0005,Maulana Hidayat,maulanahidayat651@gmail.com,082183276483,Bekasi,Jawa Barat,2021-04-25,Male,18-24
CUST0006,Nadia Iskandar,nadiaiskandar68@outlook.com,082295376724,Makassar,Sulawesi Selatan,2022-05-21,Female,35-44
CUST0007,Ratna Sari,ratnasari920@gmail.com,087865328710,Medan,Sumatera Utara,2021-11-10,Female,25-34
CUST0008,Yoga Utami,yogautami395@gmail.com,085697848018,Denpasar,Bali,2024-08-05,Male,25-34
CUST0009,Rani Simbolon,ranisimbolon977@gmail.com,089648281489,Semarang,Jawa Tengah,2021-11-10,Female,25-34
CUST0010,Vera Hutapea,verahutapea614@gmail.com,085370154303,Manado,Sulawesi Utara,2021-06-11,Female,18-24
CUST0011,Putri Sembiring,putrisembiring132@yahoo.com,089578248963,Balikpapan,Kalimantan Timur,2024-11-13,Female,18-24
CUST0012,Shinta Ramadhan,shintaramadhan922@gmail.com,085871331509,Balikpapan,Kalimantan Timur,2022-04-17,Female,25-34
CUST0013,Fatimah Setiawan,fatimahsetiawan70@yahoo.com,081251834738,Makassar,Sulawesi Selatan,2024-03-15,Female,25-34
CUST0014,Hana Halim,hanahalim97@yahoo.com,081365667010,Depok,Jawa Barat,2022-11-26,Female,35-44
CUST0015,Sari Permata,saripermata460@gmail.com,,Medan,Sumatera Utara,2021-04-14,Female,35-44
CUST0016,Siti Nugroho,sitinugroho171@yahoo.com,085677360260,Depok,Jawa Barat,2022-06-28,Female,45+
CUST0017,Wahyu Tanjung,wahyutanjung678@gmail.com,089672343098,Surabaya,Jawa Timur,2022-10-05,Male,18-24
CUST0018,Dion Hutapea,dionhutapea59@yahoo.com,085812191361,Manado,Sulawesi Utara,2022-05-20,Male,25-34
CUST0019,Rina Halim,rinahalim579@gmail.com,085854353462,Malang,Jawa Timur,2023-07-26,Female,25-34
CUST0020,Joko Saputra,jokosaputra637@gmail.com,087811838425,Bandung,Jawa Barat,2022-05-16,Male,25-34
CUST0021,Mawar Yulianti,mawaryulianti827@gmail.com,089580841241,Medan,Sumatera Utara,2024-02-08,Female,18-24
CUST0022,Fitri Hasanah,fitrihasanah704@yahoo.com,089548740164,Surabaya,Jawa Timur,2021-01-08,Female,25-34
CUST0023,Citra Maharani,citramaharani565@gmail.com,089668011280,Tangerang,Banten,2024-04-07,Female,25-34
CUST0024,Sri Yulianti,sriyulianti921@outlook.com,081253315869,Makassar,Sulawesi Selatan,2022-04-30,Female,35-44
CUST0025,Adi Halim,adihalim184@gmail.com,089656342160,Pekanbaru,Riau,2022-04-01,Male,18-24
CUST0026,Nanda Yulianti,nandayulianti229@yahoo.com,081236541458,Depok,Jawa Barat,2024-10-23,Male,45+
CUST0027,Dewi Kurniawan,dewikurniawan183@outlook.com,087840196556,Pontianak,Kalimantan Barat,2023-11-14,Female,18-24
CUST0028,Yusuf Hakim,yusufhakim726@gmail.com,085608835615,Pontianak,Kalimantan Barat,2022-10-05,Male,35-44
CUST0029,Maya Siregar,mayasiregar683@outlook.com,085656482366,Yogyakarta,DI Yogyakarta,2024-06-14,Female,25-34
CUST0030,Siti Yulianti,sitiyulianti216@outlook.com,085699577738,Pekanbaru,Riau,2021-12-14,Female,35-44
CUST0031,Shinta Cahyani,shintacahyani96@outlook.com,082243320037,Pontianak,Kalimantan Barat,2021-05-30,Female,25-34
CUST0032,Irfan Permata,irfanpermata507@gmail.com,085632016328,Padang,Sumatera Barat,2021-04-13,Male,25-34
CUST0033,Rizky Simbolon,rizkysimbolon821@yahoo.com,085788957986,Balikpapan,Kalimantan Timur,2023-07-03,Male,35-44
CUST0034,Putra Sinaga,putrasinaga770@outlook.com,082248734714,Palembang,Sumatera Selatan,2022-07-11,Male,25-34
CUST0035,Bambang Lestari,bambanglestari237@yahoo.com,085623166587,Bogor,Jawa Barat,2021-05-08,Male,18-24
CUST0036,Vera Sari,verasari878@gmail.com,087867054668,Balikpapan,Kalimantan Timur,2024-05-20,Female,35-44
CUST0037,Tika Tanjung,tikatanjung30@gmail.com,085656272980,Depok,Jawa Barat,2024-04-27,Female,25-34
CUST0038,Karina Tanjung,karinatanjung888@yahoo.com,085720465375,Bekasi,Jawa Barat,2023-02-16,Female,25-34
CUST0039,Pandu Hakim,panduhakim482@gmail.com,081280531003,Semarang,Jawa Tengah,2021-02-11,Male,25-34
CUST0040,Hana Kurniawan,hanakurniawan971@gmail.com,082274529912,Malang,Jawa Timur,2021-08-10,Female,25-34
CUST0041,Irfan Saputri,irfansaputri965@gmail.com,089631931491,Manado,Sulawesi Utara,2021-03-26,Male,25-34
CUST0042,Kirana Hidayat,kiranahidayat664@gmail.com,085306716572,Bogor,Jawa Barat,2021-12-27,Female,35-44
CUST0043,Bayu Cahyani,bayucahyani794@gmail.com,085776945314,Padang,Sumatera Barat,2022-05-15,Male,35-44
CUST0044,Satrio Saputri,satriosaputri30@outlook.com,085752735454,Pontianak,Kalimantan Barat,2024-12-07,Male,35-44
CUST0045,Bagus Permata,baguspermata248@gmail.com,089667837770,Bandung,Jawa Barat,2022-08-26,Male,18-24
CUST0046,Galih Sari,galihsari485@outlook.com,085885685574,Malang,Jawa Timur,2022-05-30,Male,18-24
CUST0047,Arif Kurniawan,arifkurniawan974@gmail.com,089623374989,Malang,Jawa Timur,2021-07-25,Male,35-44
CUST0048,Kirana Wardani,kiranawardani15@outlook.com,089682400842,Pekanbaru,Riau,2021-07-30,Female,35-44
CUST0049,Putra Pohan,putrapohan349@gmail.com,082104711671,Manado,Sulawesi Utara,2024-07-13,Male,35-44
CUST0050,Risma Yulianti,rismayulianti255@gmail.com,081386999386,Padang,Sumatera Barat,2023-06-26,Female,25-34
CUST0051,Yoga Yulianti,yogayulianti636@gmail.com,081291334123,Yogyakarta,DI Yogyakarta,2024-02-05,Male,18-24
CUST0052,Selvi Utami,selviutami299@gmail.com,081234471349,Semarang,Jawa Tengah,2023-05-21,Female,18-24
CUST0053,Indah Rahmawati,indahrahmawati74@yahoo.com,081224994717,Malang,Jawa Timur,2024-12-04,Female,25-34
CUST0054,Mawar Manurung,mawarmanurung83@gmail.com,087806594013,Manado,Sulawesi Utara,2024-04-17,Female,45+
CUST0055,Bintang Rahmawati,bintangrahmawati42@gmail.com,082178742967,Bandung,Jawa Barat,2023-08-21,Male,25-34
CUST0056,Shinta Santoso,shintasantoso338@yahoo.com,085674680715,Denpasar,Bali,2022-10-25,Female,18-24
CUST0057,Dion Saputra,dionsaputra474@gmail.com,085603859770,Semarang,Jawa Tengah,2022-07-01,Male,25-34
CUST0058,Rio Manurung,riomanurung30@gmail.com,089593248086,Bandung,Jawa Barat,2022-04-06,Male,45+
CUST0059,Anton Kurniawan,antonkurniawan511@yahoo.com,089648467737,Balikpapan,Kalimantan Timur,2021-10-24,Male,25-34
CUST0060,Dion Lestari,dionlestari283@gmail.com,085658404499,Pekanbaru,Riau,2021-11-01,Male,25-34
CUST0061,Salsa Tarigan,salsatarigan387@gmail.com,085753396360,Bekasi,Jawa Barat,2023-08-27,Female,35-44
CUST0062,Rendi Anggraini,rendianggraini988@gmail.com,081228951718,Padang,Sumatera Barat,2021-02-01,Male,35-44
CUST0063,Karina Anggraini,karinaanggraini481@gmail.com,085259615865,Pekanbaru,Riau,2024-01-14,Female,18-24
CUST0064,Vania Fauzi,vaniafauzi765@yahoo.com,081361172400,Bekasi,Jawa Barat,2021-04-25,Female,25-34
CUST0065,Indah Suryadi,indahsuryadi422@gmail.com,087822219693,Pekanbaru,Riau,2024-04-09,Female,18-24
CUST0066,Citra Simbolon,citrasimbolon683@outlook.com,081274821759,Malang,Jawa Timur,2024-08-01,Female,45+
CUST0067,Anton Yulianti,antonyulianti394@yahoo.com,085713695944,Jakarta,DKI Jakarta,2024-09-10,Male,25-34
CUST0068,Nabila Setiawan,nabilasetiawan764@gmail.com,085743953394,Makassar,Sulawesi Selatan,2024-07-10,Female,18-24
CUST0069,Eko Yulianti,ekoyulianti35@gmail.com,087852145623,Makassar,Sulawesi Selatan,2024-01-10,Male,35-44
CUST0070,Aulia Rahmawati,auliarahmawati264@yahoo.com,085745171236,Balikpapan,Kalimantan Timur,2023-01-20,Female,18-24
CUST0071,Citra Sembiring,citrasembiring466@gmail.com,085349651370,Pontianak,Kalimantan Barat,2024-02-24,Female,25-34
CUST0072,Maulana Hidayat,maulanahidayat932@gmail.com,089646120047,Medan,Sumatera Utara,2021-07-19,Male,18-24
CUST0073,Anggun Simbolon,anggunsimbolon687@outlook.com,089686926179,Bogor,Jawa Barat,2022-07-27,Female,18-24
CUST0074,Selvi Sinaga,selvisinaga876@yahoo.com,085315850643,Medan,Sumatera Utara,2023-07-21,Female,18-24
CUST0075,Vania Utami,vaniautami52@gmail.com,085332931839,Semarang,Jawa Tengah,2022-04-23,Female,25-34
CUST0076,Olivia Saputra,oliviasaputra880@outlook.com,082128421020,Tangerang,Banten,2022-05-03,Female,25-34
CUST0077,Citra Setiawan,citrasetiawan760@yahoo.com,085681177589,Medan,Sumatera Utara,2023-07-15,Female,25-34
CUST0078,Eko Hutapea,ekohutapea470@outlook.com,089500766177,Bandung,Jawa Barat,2021-06-15,Male,25-34
CUST0079,Wulan Rahmawati,wulanrahmawati649@gmail.com,087885698478,Pontianak,Kalimantan Barat,2023-06-01,Female,18-24
CUST0080,Maulana Tarigan,maulanatarigan441@yahoo.com,,Bogor,Jawa Barat,2022-10-03,Male,35-44
CUST0081,Indah Pohan,indahpohan94@gmail.com,081316152809,Balikpapan,Kalimantan Timur,2024-02-25,Female,25-34
CUST0082,Bella Tanjung,bellatanjung992@gmail.com,085294519832,Pekanbaru,Riau,2022-04-05,Female,35-44
CUST0083,Melati Ramadhan,melatiramadhan781@gmail.com,085293689980,Pontianak,Kalimantan Barat,2024-09-09,Female,35-44
CUST0084,Mira Rahmawati,mirarahmawati944@outlook.com,085350229612,Jakarta,DKI Jakarta,2021-07-07,Female,35-44
CUST0085,Mega Simbolon,megasimbolon162@outlook.com,085345991022,Pontianak,Kalimantan Barat,2021-04-12,Female,35-44
CUST0086,Shinta Tanjung,shintatanjung622@gmail.com,085764381561,Malang,Jawa Timur,2024-10-20,Female,35-44
CUST0087,Shinta Yulianti,shintayulianti226@gmail.com,085690034324,Malang,Jawa Timur,2022-11-03,Female,18-24
CUST0088,Lia Wardani,liawardani390@yahoo.com,085838851606,Jakarta,DKI Jakarta,2023-07-31,Female,45+
CUST0089,Irfan Tanjung,irfantanjung415@gmail.com,089664160529,Padang,Sumatera Barat,2024-11-13,Male,45+
CUST0090,Lina Suryadi,linasuryadi604@gmail.com,085681645352,Bandung,Jawa Barat,2023-11-12,Female,25-34
CUST0091,Sari Aprilia,sariaprilia745@outlook.com,089523124329,Makassar,Sulawesi Selatan,2024-09-04,Female,18-24
CUST0092,Ridho Manurung,ridhomanurung773@gmail.com,087897995527,Bandung,Jawa Barat,2023-08-19,Male,25-34
CUST0093,Tika Sari,tikasari361@gmail.com,085814770054,Bandung,Jawa Barat,2024-08-13,Female,35-44
CUST0094,Dani Utami,daniutami394@gmail.com,085798079359,Pekanbaru,Riau,2023-10-24,Male,18-24
CUST0095,Lina Hasanah,linahasanah517@gmail.com,089520377889,Yogyakarta,DI Yogyakarta,2023-01-16,Female,25-34
CUST0096,Mega Hasanah,megahasanah54@gmail.com,089551518644,Pontianak,Kalimantan Barat,2021-11-04,Female,25-34
CUST0097,Dimas Aprilia,dimasaprilia991@outlook.com,089562914865,Makassar,Sulawesi Selatan,2024-10-04,Male,35-44
CUST0098,Bintang Hutapea,bintanghutapea662@gmail.com,089568505423,Bekasi,Jawa Barat,2023-09-23,Male,18-24
CUST0099,Dimas Hidayat,dimashidayat865@outlook.com,081388805929,Depok,Jawa Barat,2021-11-12,Male,18-24
CUST0100,Raka Cahyani,rakacahyani739@yahoo.com,085706537947,Palembang,Sumatera Selatan,2023-12-30,Male,18-24
CUST0101,Putra Permata,putrapermata695@outlook.com,087877468862,Semarang,Jawa Tengah,2024-05-23,Male,18-24
CUST0102,Karina Pohan,karinapohan568@outlook.com,081381412478,Makassar,Sulawesi Selatan,2023-06-15,Female,18-24
