email,recency_days,frequency,monetary_value,customer_segment
indahnugroho575@gmail.com,27,5,3346634,🛒 Regulars
tikawijaya678@gmail.com,1,3,1012448,🛒 Regulars
bambangiskandar768@gmail.com,103,6,3710740,⚠️ At Risk (VIPs)
soniaaprilia82@gmail.com,0,4,768970,🛒 Regulars
diahpratama531@yahoo.com,323,5,3662668,⚠️ At Risk (VIPs)
riohasanah750@gmail.com,36,6,2231816,🛒 Regulars
shintasantoso338@yahoo.com,313,4,1377911,💤 Lost / Inactive
selviutami299@gmail.com,103,4,2271121,🛒 Regulars
vivipratama492@outlook.com,156,4,3495000,💤 Lost / Inactive
tikatanjung965@gmail.com,421,2,1274967,💤 Lost / Inactive
megasiregar836@gmail.com,358,3,1148224,💤 Lost / Inactive
ferdihakim36@gmail.com,241,5,3539483,⚠️ At Risk (VIPs)
gitakurniawan243@outlook.com,63,5,3252605,⚠️ At Risk (VIPs)
ratnasaputri226@gmail.com,292,7,2875374,⚠️ At Risk (VIPs)
kiranasimbolon848@gmail.com,63,6,1151622,⚠️ At Risk (VIPs)
ranihasanah611@gmail.com,252,6,4152841,⚠️ At Risk (VIPs)
rinalestari281@outlook.com,338,4,1360238,💤 Lost / Inactive
tikasari406@gmail.com,105,5,2350693,⚠️ At Risk (VIPs)
rendisinaga230@gmail.com,93,4,1244024,🛒 Regulars
wulankurniawan450@yahoo.com,114,5,844000,⚠️ At Risk (VIPs)
ranicahyani729@yahoo.com,692,2,850254,💤 Lost / Inactive
auliacahyani388@yahoo.com,670,2,1762544,💤 Lost / Inactive
hadimaharani904@outlook.com,166,3,1737643,💤 Lost / Inactive
putrasaputri440@outlook.com,123,6,4164729,⚠️ At Risk (VIPs)
taniaiskandar792@gmail.com,459,3,1851000,💤 Lost / Inactive
fajarsaputri657@yahoo.com,137,2,776000,💤 Lost / Inactive
dimasyulianti639@gmail.com,46,3,1137370,🛒 Regulars
wulansiregar976@outlook.com,21,4,1431354,🛒 Regulars
shintasusanti856@gmail.com,569,1,133599,💤 Lost / Inactive
ekofauzi217@gmail.com,10,4,2102000,🛒 Regulars
ekosaputra985@gmail.com,154,8,5907000,⚠️ At Risk (VIPs)
